line_no,news_id,source,title,old_decision,new_decision,new_category,new_risk_tier,changed,new_reason_codes
1,7154c6e98e1bc6a6075819ae5c7ede39,TASS,"В Московском планетарии рассказали, какими будут ""падающие звезды"" потока Персеиды",allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
2,608658d91142c709dfd7eb7178db7b84,TASS,Комитет по нацбезопасности Ирана одобрил новый законопроект по управлению Ормузом,hard_block,hard_block,WAR_OPERATIONAL,red,False,manual_war_operational_hard_block
3,77d154316d43a366c59c1fb59f05638d,TASS,В Белгороде при атаке БПЛА пострадали два человека,hard_block,hard_block,WAR_OPERATIONAL,red,False,manual_war_operational_hard_block
4,e720c2bc9e422a723cc095bcd6e9a211,TASS,Россияне стали серебряными призерами ЧЕ по пятиборью в смешанной эстафете,allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
5,c7c99a12e1402dfdc4c78c0817096c7e,TASS,"В футбольном ""Динамо"" сообщили об исходящем трансфере",hard_block,hard_block,SPORT_BLOCKED,red,False,manual_sport_hard_block
6,84349d1d76e8337f2e74938c16d7a23a,TASS,"В ""Динамо"" ждут возвращения в строй вратаря Лунева через два тура",hard_block,hard_block,SPORT_BLOCKED,red,False,manual_sport_hard_block
7,4fd3daebef4d227de179ee0d3e175338,TASS,"Пивоваров: ФК ""Динамо"" важно строить хорошие отношения с Овечкиным",hard_block,hard_block,SPORT_BLOCKED,red,False,manual_sport_hard_block
8,21ffdc162b099123011a3201a4178454,TASS,Spiegel: Пентагон финансирует исследования в вузах ФРГ,allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
9,ff1c5a5997cba4c6fe02a0f161b7f68e,TASS,FIDE рассмотрит вопрос по допуску россиян на Олимпиаду в ближайшие две недели,hard_block,hard_block,SPORT_BLOCKED,red,False,sport_blocked
10,a0efd6505fd94d7b34b2d263ca9f2335,TASS,ВС РФ поразили железнодорожную инфраструктуру ВСУ,hard_block,hard_block,WAR_OPERATIONAL,red,False,manual_war_operational_hard_block
11,433d58bc71c67e295faff66fde312954,TASS,"Глава ""Калашникова"" заявил, что концерн не работает с недружественными странами",allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
12,ba5b341b563c8d74973372d751aa3312,TASS,"""Нафтогаз Украины"" сообщил о приостановке работы одной из буровых установок",allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
13,aa802132f09c9c73d6fefee04fe24bc4,TASS,В Тульской области начали проверку после обрушения стены в центре образования,hard_block,allow,,green,True,primary:social
14,86afade1ff68cacf36061874e77a2acf,TASS,"МИД РФ считает, что должность высокого представителя в БиГ нужно закрыть",review,review,,yellow,False,unknown_topic
15,137649a87f4279877026b70ef0258b6a,TASS,Africanews: гражданская война в Судане поставила под угрозу пирамиды Мероэ,hard_block,hard_block,WAR,red,False,manual_war_hard_block
16,20c8a5b99d7e7676930fe9c2c43bc37d,TASS,Филатов: Дворкович способен повлиять на совет FIDE для допуска сборных РФ,hard_block,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
17,e089e74a67f70eceeb25136f6bb58434,TASS,"Футболисты ""Локомотива"" выиграли юношеский турнир UTLC Cup",hard_block,hard_block,SPORT_BLOCKED,red,False,manual_sport_hard_block
18,21fa73edc58025b14ed13ec9bffc473c,TASS,В аэропорту Домодедово сняли ограничения,hard_block,hard_block,AIRPORT,red,True,manual_airport_hard_block
19,4a8ebbd76c78c1bf6ed7b52554d3c5f6,TASS,Президент Болгарии призвала решить украинский конфликт дипломатически,allow,allow,DIPLOMACY,green,False,"title_lead_policy:дипломат,президент"
20,b509a7051873a396a92c2a7b1d9533e3,TASS,В Сирии заявили о подписании соглашения с Россией о передаче объектов в Тартусе,hard_block,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
21,1688f79deb5d013a8beff7977c9bfe3e,TASS,Украинский омбудсмен потребовал провести проверку военкоматов в Закарпатье,hard_block,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
22,ab834c4ec564679bf985d1ee84b0a855,TASS,Филатов назвал престижной победу УГГУ на чемпионате мира среди университетов,hard_block,hard_block,SPORT_BLOCKED,red,False,sport_blocked
23,0e1b5b8faff21903c6df9adea1f408a3,TASS,"Московское ""Динамо"" одержало первую победу в сезоне РПЛ",hard_block,hard_block,SPORT_BLOCKED,red,False,manual_sport_hard_block
24,76a6e85701943ac47fe4f874cf8ad8d0,TASS,Допуск с флагом и турниры в РФ. Главные заявления президента European Aquatics,hard_block,hard_block,SPORT_BLOCKED,red,False,sport_blocked
25,5c7c9317ddba946a525383511929f340,TASS,В Донецке без электроэнергии остались более 8 тыс. абонентов,allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
26,1839c54669aee64fadf7c2acfe2d391c,TASS,В Смоленской области завершили основные работы по восстановлению электроэнергии,allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
27,acf7820eb4c9a331d9761d96422a2785,TASS,Эксперт Ульмасов отметил рост конкуренции за рабочую силу из Центральной Азии,allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
28,183a12eae14c47865f66d496d801d485,TASS,SANA: глава МИД Сирии посетил Тартус и Латакию после подписания меморандума с РФ,allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
29,db1fc7234f23c8348b1a49da2dcc9c6a,TASS,"Израиль заявил, что Ливан обещал разоружить ""Хезболлах"", но не смог",review,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
30,7763e350c24f4aa5cb677d7dcedc6f12,TASS,Во всех муниципалитетах Югры открылась фотовыставка ТАСС о коренных народах,allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
31,a15cedf2822286d13318fea02b49ecfb,TASS,Захарова прокомментировала позицию Токио по бомбардировкам,hard_block,hard_block,WAR,red,False,manual_war_hard_block
32,ebc6f4292a56909bdd142c9af9f7de2a,TASS,Лушников: в российском ОПК нужна здоровая конкуренция,allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
33,c4f0d48c0091caa63b7c82d6329c17f8,TASS,МИД РФ: Северная Македония взяла курс антироссийских установок ЕС и НАТО,review,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
34,f723e3d0533c9d26b14d35f7c8d19622,TASS,В Саратовской области после ДТП с участием автобуса завели дело,skip,skip,,green,False,out_of_scope:crime
35,a835aa7892e81f7af67728cae1ccf4b6,TASS,В Белгороде на нескольких улицах ограничили движение транспорта,hard_block,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
36,8184692e83c7a11dff87ea5d42641031,TASS,Моджтаба Хаменеи впервые за три месяца встретился с президентом Ирана,allow,allow,,green,False,title_lead_key_verb:президент+встретил
37,2c9ff80220ab90d1d3b2244e03bb5d35,TASS,Чемпионки Спартакиады в синхронном плавании намерены выступить на ЧМ-2027,hard_block,hard_block,SPORT_BLOCKED,red,False,manual_sport_hard_block
38,15cab73a1d151dc1e218b60d9cd56046,TASS,Reuters: суда проходят через турецкие проливы в Черное море без ограничений,hard_block,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
39,1725d0c01562feb7484dbd73a5ea39d5,TASS,"""Спартак"" сообщил о продаже всех билетов на матч с ""Краснодаром""",hard_block,hard_block,SPORT_BLOCKED,red,False,manual_sport_hard_block
40,499e214ada625d22b456e6244088e3f0,TASS,Полиция Молдавии сообщила о падении и взрыве беспилотника на юге страны,hard_block,hard_block,WAR_OPERATIONAL,red,False,manual_war_operational_hard_block
41,e113065c3da36f1367ed266cb70e63a6,TASS,Срок оплаты штрафов для машин с иностранными номерами в РФ могут сократить до суток,allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
42,173e08dfaa9e4ba5ec5ffe084dd625f7,TASS,В Херсонской области расширили зону принудительной эвакуации,review,review,,yellow,False,unknown_topic
43,03d6488ea2617e2be3aa046d0c280b23,TASS,На Кубани столкнулись две моторные лодки,review,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
44,8c8ff8641d62481116e117df10651ea0,TASS,"Советник Нетаньяху рассказал, чего добивается Израиль в Газе",allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
45,bafb2c08cea9ae12fb097e3d6d3e251d,TASS,Команда УГГУ выиграла ЧМ по шахматам среди университетов,allow,allow,,green,False,primary:social
