source_id	source_path	author	work	stance_type	period	language	include	notes
src_ff0c6ae0b8f46c75	intellectual/Аристотель/Метафизика (Классики философии) - 1934.txt	Аристотель	Метафизика (Классики философии) - 1934	contextual	unknown	ru	True	
src_07170877abe3affe	intellectual/Арманд/Статьи, речи, письма.txt	Арманд	Статьи, речи, письма	contextual	unknown	ru	True	
src_4d6c25b1d14ffec8	intellectual/Богданов/Эмпириомонизм.txt	Богданов	Эмпириомонизм	contextual	unknown	ru	True	
src_38fb1ab7b39dfea4	intellectual/Гегель/Лекции по истории философии.txt	Гегель	Лекции по истории философии	contextual	unknown	ru	True	
src_1789ffcfa8d4aed3	intellectual/Гегель/Наука логики.txt	Гегель	Наука логики	contextual	unknown	ru	True	
src_c88f9a47b70ab3ea	intellectual/Гегель/Феноменология духа.txt	Гегель	Феноменология духа	contextual	unknown	ru	True	
src_2ec003e1602eece8	intellectual/Ленин/pss/том 1.txt	Ленин	том 1	core_self	unknown	ru	True	
src_c2338968cf842c9e	intellectual/Ленин/pss/том 10.txt	Ленин	том 10	core_self	unknown	ru	True	
src_8cd333b02bf46b48	intellectual/Ленин/pss/том 11.txt	Ленин	том 11	core_self	unknown	ru	True	
src_70dd35adc07dec53	intellectual/Ленин/pss/том 12.txt	Ленин	том 12	core_self	unknown	ru	True	
src_5422330006d41470	intellectual/Ленин/pss/том 13.txt	Ленин	том 13	core_self	unknown	ru	True	
src_2612358ff5641402	intellectual/Ленин/pss/том 14.txt	Ленин	том 14	core_self	unknown	ru	True	
src_35f5b68ee02059ab	intellectual/Ленин/pss/том 15.txt	Ленин	том 15	core_self	unknown	ru	True	
src_6f16fd1e87c2db75	intellectual/Ленин/pss/том 16.txt	Ленин	том 16	core_self	unknown	ru	True	
src_a5b24dd0eb0f03e6	intellectual/Ленин/pss/том 17.txt	Ленин	том 17	core_self	unknown	ru	True	
src_8a50407c5eeffbcb	intellectual/Ленин/pss/том 18.txt	Ленин	том 18	core_self	unknown	ru	True	
src_0b8e5e4fcdd17254	intellectual/Ленин/pss/том 19.txt	Ленин	том 19	core_self	unknown	ru	True	
src_6ad29a29f3f56547	intellectual/Ленин/pss/том 2.txt	Ленин	том 2	core_self	unknown	ru	True	
src_696ca0fd89548dd2	intellectual/Ленин/pss/том 20.txt	Ленин	том 20	core_self	unknown	ru	True	
src_4be7e7ac91590595	intellectual/Ленин/pss/том 21.txt	Ленин	том 21	core_self	unknown	ru	True	
src_00963cf518d9b85c	intellectual/Ленин/pss/том 22.txt	Ленин	том 22	core_self	unknown	ru	True	
src_69bd7495d271a3d8	intellectual/Ленин/pss/том 23.txt	Ленин	том 23	core_self	unknown	ru	True	
src_0c5e4e3f10db2861	intellectual/Ленин/pss/том 24.txt	Ленин	том 24	core_self	unknown	ru	True	
src_a3cd199d858e022e	intellectual/Ленин/pss/том 25.txt	Ленин	том 25	core_self	unknown	ru	True	
src_c2889b36d752609a	intellectual/Ленин/pss/том 26.txt	Ленин	том 26	core_self	unknown	ru	True	
src_62e16f32a74348be	intellectual/Ленин/pss/том 27.txt	Ленин	том 27	core_self	unknown	ru	True	
src_65c481194fb79ce1	intellectual/Ленин/pss/том 28.txt	Ленин	том 28	core_self	unknown	ru	True	
src_df4801d8c364c2f1	intellectual/Ленин/pss/том 29.txt	Ленин	том 29	core_self	unknown	ru	True	
src_b85b52e557be7542	intellectual/Ленин/pss/том 3.txt	Ленин	том 3	core_self	unknown	ru	True	
src_8410d749442d2764	intellectual/Ленин/pss/том 30.txt	Ленин	том 30	core_self	unknown	ru	True	
src_2bb576064c2cc135	intellectual/Ленин/pss/том 31.txt	Ленин	том 31	core_self	unknown	ru	True	
