line_no,news_id,source,title,new_decision,new_category,new_risk_tier,changed
1,6fc1a6e56b57c1e29463bee7801d7d9f,TASS,В ГД предложили смягчить требования к тонировке передних боковых стекол машин,allow,NON_TOPICAL,green,True
2,72379ae33d15ce7b2973685ffdee6eb3,TASS,В Москве закроют движение по части улиц и набережных 8-9 августа,allow,NON_TOPICAL,green,True
5,c016818cd2b2338500d93e30dc048250,TASS,Военная операция на Украине. Онлайн,allow,NON_TOPICAL,green,True
6,8142a6d85110e01aa76a140568638090,TASS,Telegraph: лидер Reform UK подал в суд на агентство по борьбе с преступностью,allow,NON_TOPICAL,green,True
8,8b46efeb21c9aa7c970c60e62b4a6842,TASS,На Кипре арестовали подозреваемого в покушении на убийство монаха,allow,NON_TOPICAL,green,True
9,52189f868b11fe0d60df92ef69f9443b,TASS,Экс-глава МИД Украины спрогнозировал рост числа нападений на украинцев в Польше,allow,NON_TOPICAL,green,True
10,88b84c1a8176acdaa47fe63da1a2ee88,TASS,Трамп объявил об инвестициях в размере $3 млрд в горнодобывающей отрасли,allow,NON_TOPICAL,green,True
11,01b219c7d808f48e19f3deff65d686e0,TASS,Акция-реквием по павшим защитникам Южной Осетии собрала более 4 тыс. человек,allow,NON_TOPICAL,green,True
16,96803f4ee87cb54ae9287123c6944e3a,TASS,"""Грузавтотранс"" потребовала снять запрет на каботаж для Калининграда",allow,NON_TOPICAL,green,True
20,7aaed1d02290cdf3c86ce71a1762386e,TASS,В Москве жара достигла 30 градусов пятый раз с начала лета,allow,NON_TOPICAL,green,True
21,d39c296d7911483893d506bb54b335ca,TASS,El País: в Испании введут контроль на границе для путешественников из Италии,allow,NON_TOPICAL,green,True
24,72e39ca456ea69ba78027d2d1e5e44c2,TASS,Heartlander News: Минюст США поддержал монастырь РПЦЗ в борьбе с ветропарком,allow,NON_TOPICAL,green,True
27,dd211fc3e811946ca11ff36c0e47ae5b,TASS,"Экс-президент Южной Осетии считает, что Грузия оказалась прагматичней Украины",allow,NON_TOPICAL,green,True
30,706033d35ae208b357dcbc996c23bbb3,TASS,Военизированные группировки в Ираке отложили атаку на соседнюю страну,allow,NON_TOPICAL,green,True
32,d78addf91af676a37a9a6d0fd1c12516,TASS,Медицинские программы обучения стали самыми популярными в крупнейшем вузе КБР,allow,,green,False
33,cf744d8b32996ceb37f088cfb86ca0d9,TASS,Канцелярия Бернэма раскритиковала предложение запретить пить в пабах стоя,allow,NON_TOPICAL,green,True
35,56bf4781ca15a35b6d57c73fcf6f2aca,TASS,Экс-президент Южной Осетии назвал дату первой гибридной войны Запада,allow,NON_TOPICAL,green,True
36,1774a5f96a825bc10259f15d867bf0e1,TASS,Зеленский усилил свою охрану для первого визита в Сербию,allow,NON_TOPICAL,green,True
37,ed981587b3302cbf7ceb891adc04e17d,TASS,ТАСС возглавил рейтинг цитируемости СМИ в июле,allow,NON_TOPICAL,green,True
40,473e9c3f1a37f4f7de863920f1b3f86f,TASS,Раскрыт молекулярный механизм развития средиземноморской семейной лихорадки,allow,NON_TOPICAL,green,True
41,9cd90df0407b4a40c00577e23008e593,TASS,"""Прозрачный блокчейн"" помог выявить связи криптомошенников с иностранной биржей",allow,NON_TOPICAL,green,True
42,706d1b1a3ea1c3507a0e19cb1b72994f,TASS,В Раде предложили Федорову вступить в ряды ВС Украины,allow,NON_TOPICAL,green,True
44,22bf2eca15200a8c319d6ed5d09f40c9,TASS,В Минздраве одобрили еще пять лекарств для перечня жизненно необходимых,allow,NON_TOPICAL,green,True
47,5a948eeb5ecc33c28ebff6ab43ead22c,TASS,Экс-президент Финляндии заявил о необходимости диалога Европы с РФ,allow,,green,False
49,3773235b074c02148bf1d2376264e6ad,TASS,На юго-востоке Украины повреждены объекты инфраструктуры,allow,,green,False
50,4d62641f28ef200c051e40d4f364d421,TASS,Политик Джурджев: приезд Зеленского в Белград не отвечает интересам Сербии,allow,,green,False
52,b3ab479418de60c6f09388e33a346d66,TASS,Agerpres: Румыния разрешила ограничивать экспорт и потребление электроэнергии,allow,,green,True
53,6dea2f28c7eb9f8bdba885f8853f6a61,TASS,"ГП проконтролирует расследование дела криптообменников, работавших на Киев",allow,NON_TOPICAL,green,True
54,e1ce21d5543b76f267da69b1670e58fd,TASS,Минпромторг ждет антидемпингового расследования ЕАЭС по лимонной кислоте,allow,NON_TOPICAL,green,True
57,87d62741c20273b9af49c2aff301a614,TASS,Защита олигарха Плахотнюка обвинила премьера Молдавии в давлении на юстицию,allow,NON_TOPICAL,green,True
59,a4df6366125a11c1d1667603dc4dce58,TASS,Российский рынок акций завершил неделю снижением основных индексов,allow,NON_TOPICAL,green,True
60,5213dcdd654152596f555fb882c107f6,TASS,"Журова считает, что весь мир ожидает выступления Валиевой на соревнованиях",allow,NON_TOPICAL,green,True
61,1eb0b881702548680c6d6733149b1d6b,TASS,"Минтруд предложил расширить число категорий лиц, имеющих право на две пенсии",allow,NON_TOPICAL,green,True
62,79301378318e3ab6f78012ccc4f8cd88,TASS,В Сербии оценили последствия приезда Зеленского в Белград,allow,NON_TOPICAL,green,True
63,3dd73dcbcb5f17d1779dba6832fe4dbd,TASS,"The Times of India: США в 2026 году поставили Индии 3,6 млн тонн СНГ",allow,NON_TOPICAL,green,True
64,6205324d16a7898c25d7b6000fd2605b,TASS,На Украине задерживаются более 60 пассажирских поездов,allow,NON_TOPICAL,green,True
70,957e8556ce9f1a7b127e0fdcf086b4f3,TASS,Несколько населенных пунктов ДНР обесточены из-за аварии на электросетях,allow,NON_TOPICAL,green,True
