timestamp_utc,news_id,source,language,title,body_hash,decision,category,risk_tier,reason_codes,l2_similarity,l3_used,latency_ms,config_version_hash
2026-08-09T09:38:27.363276+00:00,3c54132920ff0f448059024e99db2e4b,TASS,ru,"Врач Карпенко объяснил, нужны ли школьникам медобследования перед учебой",fcfa0be9454c0700797189f8f5d22e0e83d4820143b849d9ac6075e46352b52c,allow,,green,['primary:social'],0.0,False,17.51130004413426,44e4c006eaed907e
2026-08-09T09:38:27.374273+00:00,578f3f7381bf7199790f1cf4b2401a78,TASS,ru,МИД России оценил вероятность эскалации тлеющего конфликта на Кипре,443c536f7c0a3126dfa8fa878928a7dab83dddf64639293b8b7bba6f60f3dd3a,allow,NON_TOPICAL,yellow,['unknown_topic_low_signal_allow_forward'],0.0,False,9.820999985095114,44e4c006eaed907e
2026-08-09T09:38:27.375272+00:00,87decafc8945ef31d0b8994b8f93ed5f,TASS,ru,"Футболист бразильской ""Коритибы"" упал в тоннель во время праздновании гола",71550b211a93a6f324f26bde70dc5a78e1557e9f9933cf3e9ce45dbe164ee128,hard_block,SPORT_BLOCKED,red,['sport_blocked'],,False,0.09919999865815043,44e4c006eaed907e
2026-08-09T09:38:27.376272+00:00,9a67ea3ef5bf58a1b97c545c2197e371,TASS,ru,В Петербурге полуденный выстрел посвятили Дню окончания Ленинградской битвы,8ce022f3d11980b0dd990b448350c6a5caa3aed6f63571771d49d7e1c8be3599,hard_block,WAR,red,['manual_war_hard_block'],,False,0.09039998985826969,44e4c006eaed907e
2026-08-09T09:38:27.377277+00:00,7c4e53960dc85c08f701b535f5bae8ba,TASS,ru,"Тренер сообщила, что Дзепка готовится к юниорскому Гран-при ISU в штатном режиме",7850f87bfbf6fdd24fb425d118f505ddb88400e4d7344fd3b55e1edfc84c3c1f,hard_block,SPORT_BLOCKED,red,['manual_sport_hard_block'],,False,0.08979998528957367,44e4c006eaed907e
2026-08-09T09:38:27.387273+00:00,c0f5b1ec7ca66a08f2e6a8344ad91065,TASS,ru,Володин поздравил Хуснуллина с днем рождения,161559541e3dd765b838c451d25f2afc35e3b5ec4974584bc9217210c09c330d,allow,NON_TOPICAL,yellow,['unknown_topic_low_signal_allow_forward'],0.0,False,9.567099972628057,44e4c006eaed907e
2026-08-09T09:38:27.398275+00:00,819d4778b913b76c47377d363590c129,TASS,ru,Росстат заявил о росте потребления мяса в РФ в 2025 году до 100 кг на человека,1bfb407e2541aa20216f1956a65256ee3aca34625fc7285036eb3dc74088421d,allow,NON_TOPICAL,yellow,['unknown_topic_low_signal_allow_forward'],0.0,False,9.073599998373538,44e4c006eaed907e
2026-08-09T09:38:27.399274+00:00,6c34b5ae47a7ad25f735594391a98ece,TASS,ru,Эксперт Мустафа: договоренности по Ормузу могут задать новые правила судоходства,49c51129961354fd40b8c906408eda036449c500acc452f9c6429cafa8c56a20,hard_block,WAR_OPERATIONAL,red,['manual_war_operational_hard_block'],,False,0.12079998850822449,44e4c006eaed907e
2026-08-09T09:38:27.400276+00:00,0d04fc1492b80d01a8bf6394dbce4756,TASS,ru,В ДНР за неделю предотвратили 136 дроновых украинских атак,e7a01e515cf39d475157a8154f2c4bc826811e2997b5541421daabd411264ba7,hard_block,WAR_OPERATIONAL,red,['manual_war_operational_hard_block'],,False,0.07499998901039362,44e4c006eaed907e
2026-08-09T09:38:27.401276+00:00,67c5bc22cf24d6b6be8a26e0a897eb93,TASS,ru,"Бабаев не сомневается, что Акинфеев еще принесет пользу ЦСКА",76e6a752f7553c2f09502af133fa5b6d9b709d56974659b0ac1e6a3b9e836aab,hard_block,SPORT_BLOCKED,red,['manual_sport_hard_block'],,False,0.06539997411891818,44e4c006eaed907e
